,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
199,Source,384PP_AQ_BP2,A09,Destination,B11,37.5
200,Source,384PP_AQ_BP2,A12,Destination,B11,1185.0
201,Source,384PP_AQ_BP2,A14,Destination,B11,27.5
202,Source,384PP_AQ_BP2,A15,Destination,B11,17.5
203,Source,384PP_AQ_BP2,A16,Destination,B11,690.0
204,Source,384PP_AQ_BP2,A18,Destination,B11,352.5
205,Source,384PP_AQ_BP2,A20,Destination,B11,257.5
206,Source,384PP_AQ_BP2,A21,Destination,B11,2.5
207,Source,384PP_AQ_BP2,A23,Destination,B11,837.5
208,Source,384PP_AQ_BP2,A03,Destination,B10,7.5
209,Source,384PP_AQ_BP2,A04,Destination,B10,77.5
210,Source,384PP_AQ_BP2,A09,Destination,B10,37.5
211,Source,384PP_AQ_BP2,A12,Destination,B10,1185.0
212,Source,384PP_AQ_BP2,A14,Destination,B10,52.5
213,Source,384PP_AQ_BP2,A15,Destination,B10,17.5
214,Source,384PP_AQ_BP2,A16,Destination,B10,690.0
215,Source,384PP_AQ_BP2,A18,Destination,B10,352.5
216,Source,384PP_AQ_BP2,A20,Destination,B10,257.5
217,Source,384PP_AQ_BP2,A21,Destination,B10,2.5
218,Source,384PP_AQ_BP2,A23,Destination,B10,812.5
219,Source,384PP_AQ_BP2,A24,Destination,B09,2000.0
220,Source,384PP_AQ_BP2,A24,Destination,B09,2000.0
221,Source,384PP_AQ_BP2,A24,Destination,B09,1265.0
222,Source,384PP_AQ_BP2,A03,Destination,B08,5.0
223,Source,384PP_AQ_BP2,A04,Destination,B08,67.5
224,Source,384PP_AQ_BP2,A09,Destination,B08,17.5
225,Source,384PP_AQ_BP2,A12,Destination,B08,790.0
226,Source,384PP_AQ_BP2,A14,Destination,B08,160.0
227,Source,384PP_AQ_BP2,A15,Destination,B08,32.5
228,Source,384PP_AQ_BP2,A18,Destination,B08,265.0
229,Source,384PP_AQ_BP2,A20,Destination,B08,147.5
230,Source,384PP_AQ_BP2,A21,Destination,B08,2.5
231,Source,384PP_AQ_BP2,A24,Destination,B08,2000.0
232,Source,384PP_AQ_BP2,A24,Destination,B08,1777.5
233,Source,384PP_AQ_BP2,A03,Destination,B07,27.5
234,Source,384PP_AQ_BP2,A04,Destination,B07,277.5
235,Source,384PP_AQ_BP2,A24,Destination,B07,2000.0
236,Source,384PP_AQ_BP2,A24,Destination,B07,2000.0
237,Source,384PP_AQ_BP2,A24,Destination,B07,960.0
238,Source,384PP_AQ_BP2,A03,Destination,B06,7.5
239,Source,384PP_AQ_BP2,A04,Destination,B06,87.5
240,Source,384PP_AQ_BP2,A09,Destination,B06,45.0
241,Source,384PP_AQ_BP2,A14,Destination,B06,212.5
242,Source,384PP_AQ_BP2,A15,Destination,B06,55.0
243,Source,384PP_AQ_BP2,A16,Destination,B06,517.5
244,Source,384PP_AQ_BP2,A18,Destination,B06,442.5
245,Source,384PP_AQ_BP2,A20,Destination,B06,332.5
246,Source,384PP_AQ_BP2,A21,Destination,B06,5.0
247,Source,384PP_AQ_BP2,A24,Destination,B06,1792.5
248,Source,384PP_AQ_BP2,A03,Destination,B05,2.5
249,Source,384PP_AQ_BP2,A04,Destination,B05,77.5
250,Source,384PP_AQ_BP2,A09,Destination,B05,37.5
251,Source,384PP_AQ_BP2,A12,Destination,B05,592.5
252,Source,384PP_AQ_BP2,A14,Destination,B05,160.0
253,Source,384PP_AQ_BP2,A15,Destination,B05,32.5
254,Source,384PP_AQ_BP2,A16,Destination,B05,690.0
255,Source,384PP_AQ_BP2,A18,Destination,B05,442.5
