,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
256,Source,384PP_AQ_BP2,A03,Destination,B10,7.5
257,Source,384PP_AQ_BP2,A04,Destination,B10,77.5
258,Source,384PP_AQ_BP2,A05,Destination,B10,1105.0
259,Source,384PP_AQ_BP2,A09,Destination,B10,37.5
260,Source,384PP_AQ_BP2,A10,Destination,B10,552.5
261,Source,384PP_AQ_BP2,A12,Destination,B10,1185.0
262,Source,384PP_AQ_BP2,A14,Destination,B10,52.5
263,Source,384PP_AQ_BP2,A15,Destination,B10,17.5
264,Source,384PP_AQ_BP2,A16,Destination,B10,690.0
265,Source,384PP_AQ_BP2,A18,Destination,B10,352.5
266,Source,384PP_AQ_BP2,A19,Destination,B10,110.0
267,Source,384PP_AQ_BP2,A20,Destination,B10,257.5
268,Source,384PP_AQ_BP2,A21,Destination,B10,2.5
269,Source,384PP_AQ_BP2,A23,Destination,B10,812.5
270,Source,384PP_AQ_BP2,A24,Destination,B09,2000.0
271,Source,384PP_AQ_BP2,A24,Destination,B09,2000.0
272,Source,384PP_AQ_BP2,A24,Destination,B09,1265.0
273,Source,384PP_AQ_BP2,A03,Destination,B08,5.0
274,Source,384PP_AQ_BP2,A04,Destination,B08,67.5
275,Source,384PP_AQ_BP2,A09,Destination,B08,17.5
276,Source,384PP_AQ_BP2,A12,Destination,B08,790.0
277,Source,384PP_AQ_BP2,A14,Destination,B08,160.0
278,Source,384PP_AQ_BP2,A15,Destination,B08,32.5
279,Source,384PP_AQ_BP2,A18,Destination,B08,265.0
280,Source,384PP_AQ_BP2,A20,Destination,B08,147.5
281,Source,384PP_AQ_BP2,A21,Destination,B08,2.5
282,Source,384PP_AQ_BP2,A24,Destination,B08,2000.0
283,Source,384PP_AQ_BP2,A24,Destination,B08,1777.5
284,Source,384PP_AQ_BP2,A03,Destination,B07,27.5
285,Source,384PP_AQ_BP2,A04,Destination,B07,277.5
286,Source,384PP_AQ_BP2,A24,Destination,B07,2000.0
287,Source,384PP_AQ_BP2,A24,Destination,B07,2000.0
288,Source,384PP_AQ_BP2,A24,Destination,B07,960.0
289,Source,384PP_AQ_BP2,A03,Destination,B06,7.5
290,Source,384PP_AQ_BP2,A04,Destination,B06,87.5
291,Source,384PP_AQ_BP2,A05,Destination,B06,1105.0
292,Source,384PP_AQ_BP2,A09,Destination,B06,45.0
293,Source,384PP_AQ_BP2,A10,Destination,B06,552.5
294,Source,384PP_AQ_BP2,A14,Destination,B06,212.5
295,Source,384PP_AQ_BP2,A15,Destination,B06,55.0
296,Source,384PP_AQ_BP2,A16,Destination,B06,517.5
297,Source,384PP_AQ_BP2,A18,Destination,B06,442.5
298,Source,384PP_AQ_BP2,A19,Destination,B06,110.0
299,Source,384PP_AQ_BP2,A20,Destination,B06,332.5
300,Source,384PP_AQ_BP2,A21,Destination,B06,5.0
301,Source,384PP_AQ_BP2,A24,Destination,B06,1792.5
302,Source,384PP_AQ_BP2,A03,Destination,B05,2.5
303,Source,384PP_AQ_BP2,A04,Destination,B05,77.5
304,Source,384PP_AQ_BP2,A05,Destination,B05,1105.0
305,Source,384PP_AQ_BP2,A09,Destination,B05,37.5
306,Source,384PP_AQ_BP2,A10,Destination,B05,552.5
307,Source,384PP_AQ_BP2,A12,Destination,B05,592.5
308,Source,384PP_AQ_BP2,A14,Destination,B05,160.0
309,Source,384PP_AQ_BP2,A15,Destination,B05,32.5
310,Source,384PP_AQ_BP2,A16,Destination,B05,690.0
311,Source,384PP_AQ_BP2,A18,Destination,B05,442.5
312,Source,384PP_AQ_BP2,A19,Destination,B05,110.0
313,Source,384PP_AQ_BP2,A20,Destination,B05,257.5
314,Source,384PP_AQ_BP2,A21,Destination,B05,2.5
315,Source,384PP_AQ_BP2,A24,Destination,B05,1197.5
316,Source,384PP_AQ_BP2,A03,Destination,B04,5.0
317,Source,384PP_AQ_BP2,A04,Destination,B04,67.5
318,Source,384PP_AQ_BP2,A05,Destination,B04,1105.0
319,Source,384PP_AQ_BP2,A09,Destination,B04,27.5
320,Source,384PP_AQ_BP2,A10,Destination,B04,552.5
321,Source,384PP_AQ_BP2,A12,Destination,B04,1580.0
322,Source,384PP_AQ_BP2,A14,Destination,B04,160.0
323,Source,384PP_AQ_BP2,A15,Destination,B04,32.5
324,Source,384PP_AQ_BP2,A16,Destination,B04,862.5
325,Source,384PP_AQ_BP2,A18,Destination,B04,177.5
326,Source,384PP_AQ_BP2,A19,Destination,B04,110.0
327,Source,384PP_AQ_BP2,A20,Destination,B04,220.0
328,Source,384PP_AQ_BP2,A21,Destination,B04,2.5
329,Source,384PP_AQ_BP2,A24,Destination,B04,360.0
330,Source,384PP_AQ_BP2,A03,Destination,B03,7.5
331,Source,384PP_AQ_BP2,A04,Destination,B03,77.5
332,Source,384PP_AQ_BP2,A05,Destination,B03,1105.0
333,Source,384PP_AQ_BP2,A09,Destination,B03,27.5
334,Source,384PP_AQ_BP2,A10,Destination,B03,552.5
335,Source,384PP_AQ_BP2,A12,Destination,B03,987.5
336,Source,384PP_AQ_BP2,A14,Destination,B03,212.5
337,Source,384PP_AQ_BP2,A15,Destination,B03,45.0
338,Source,384PP_AQ_BP2,A18,Destination,B03,265.0
339,Source,384PP_AQ_BP2,A19,Destination,B03,110.0
340,Source,384PP_AQ_BP2,A20,Destination,B03,295.0
341,Source,384PP_AQ_BP2,A21,Destination,B03,2.5
342,Source,384PP_AQ_BP2,A24,Destination,B03,1577.5
343,Source,384PP_AQ_BP2,A03,Destination,B02,2.5
344,Source,384PP_AQ_BP2,A04,Destination,B02,10.0
345,Source,384PP_AQ_BP2,A05,Destination,B02,1105.0
346,Source,384PP_AQ_BP2,A10,Destination,B02,552.5
347,Source,384PP_AQ_BP2,A12,Destination,B02,1580.0
348,Source,384PP_AQ_BP2,A14,Destination,B02,27.5
349,Source,384PP_AQ_BP2,A15,Destination,B02,17.5
350,Source,384PP_AQ_BP2,A16,Destination,B02,1382.5
351,Source,384PP_AQ_BP2,A18,Destination,B02,177.5
352,Source,384PP_AQ_BP2,A19,Destination,B02,110.0
353,Source,384PP_AQ_BP2,A20,Destination,B02,147.5
354,Source,384PP_AQ_BP2,A24,Destination,B02,152.5
355,Source,384PP_AQ_BP2,A03,Destination,B01,2.5
356,Source,384PP_AQ_BP2,A04,Destination,B01,77.5
357,Source,384PP_AQ_BP2,A05,Destination,B01,1105.0
358,Source,384PP_AQ_BP2,A09,Destination,B01,45.0
359,Source,384PP_AQ_BP2,A10,Destination,B01,552.5
360,Source,384PP_AQ_BP2,A12,Destination,B01,790.0
361,Source,384PP_AQ_BP2,A14,Destination,B01,105.0
362,Source,384PP_AQ_BP2,A15,Destination,B01,22.5
363,Source,384PP_AQ_BP2,A16,Destination,B01,517.5
364,Source,384PP_AQ_BP2,A18,Destination,B01,352.5
365,Source,384PP_AQ_BP2,A19,Destination,B01,110.0
366,Source,384PP_AQ_BP2,A20,Destination,B01,147.5
367,Source,384PP_AQ_BP2,A21,Destination,B01,5.0
368,Source,384PP_AQ_BP2,A24,Destination,B01,1430.0
369,Source,384PP_AQ_BP2,A03,Destination,C01,7.5
370,Source,384PP_AQ_BP2,A04,Destination,C01,87.5
371,Source,384PP_AQ_BP2,A05,Destination,C01,1105.0
372,Source,384PP_AQ_BP2,A09,Destination,C01,37.5
373,Source,384PP_AQ_BP2,A10,Destination,C01,552.5
374,Source,384PP_AQ_BP2,A12,Destination,C01,790.0
375,Source,384PP_AQ_BP2,A14,Destination,C01,160.0
376,Source,384PP_AQ_BP2,A15,Destination,C01,22.5
377,Source,384PP_AQ_BP2,A16,Destination,C01,172.5
378,Source,384PP_AQ_BP2,A18,Destination,C01,352.5
379,Source,384PP_AQ_BP2,A19,Destination,C01,110.0
380,Source,384PP_AQ_BP2,A20,Destination,C01,110.0
381,Source,384PP_AQ_BP2,A21,Destination,C01,5.0
382,Source,384PP_AQ_BP2,A24,Destination,C01,1750.0
383,Source,384PP_AQ_BP2,A03,Destination,C02,27.5
384,Source,384PP_AQ_BP2,A04,Destination,C02,277.5
385,Source,384PP_AQ_BP2,A24,Destination,C02,2000.0
386,Source,384PP_AQ_BP2,A24,Destination,C02,2000.0
387,Source,384PP_AQ_BP2,A24,Destination,C02,960.0
388,Source,384PP_AQ_BP2,A03,Destination,C03,7.5
389,Source,384PP_AQ_BP2,A04,Destination,C03,87.5
390,Source,384PP_AQ_BP2,A05,Destination,C03,1105.0
391,Source,384PP_AQ_BP2,A09,Destination,C03,37.5
392,Source,384PP_AQ_BP2,A10,Destination,C03,552.5
393,Source,384PP_AQ_BP2,A12,Destination,C03,987.5
394,Source,384PP_AQ_BP2,A14,Destination,C03,160.0
395,Source,384PP_AQ_BP2,A15,Destination,C03,22.5
396,Source,384PP_AQ_BP2,A16,Destination,C03,172.5
397,Source,384PP_AQ_BP2,A18,Destination,C03,352.5
398,Source,384PP_AQ_BP2,A19,Destination,C03,110.0
399,Source,384PP_AQ_BP2,A20,Destination,C03,110.0
400,Source,384PP_AQ_BP2,A21,Destination,C03,5.0
401,Source,384PP_AQ_BP2,A24,Destination,C03,1552.5
402,Source,384PP_AQ_BP2,A24,Destination,C04,2000.0
403,Source,384PP_AQ_BP2,A24,Destination,C04,2000.0
404,Source,384PP_AQ_BP2,A24,Destination,C04,1265.0
405,Source,384PP_AQ_BP2,B01,Destination,C05,2000.0
406,Source,384PP_AQ_BP2,B01,Destination,C05,2000.0
407,Source,384PP_AQ_BP2,B01,Destination,C05,1265.0
408,Source,384PP_AQ_BP2,A03,Destination,C06,5.0
409,Source,384PP_AQ_BP2,A04,Destination,C06,77.5
410,Source,384PP_AQ_BP2,A05,Destination,C06,1105.0
411,Source,384PP_AQ_BP2,A09,Destination,C06,22.5
412,Source,384PP_AQ_BP2,A10,Destination,C06,552.5
413,Source,384PP_AQ_BP2,A12,Destination,C06,197.5
414,Source,384PP_AQ_BP2,A14,Destination,C06,132.5
415,Source,384PP_AQ_BP2,A15,Destination,C06,37.5
416,Source,384PP_AQ_BP2,A16,Destination,C06,1382.5
417,Source,384PP_AQ_BP2,A18,Destination,C06,220.0
418,Source,384PP_AQ_BP2,A19,Destination,C06,110.0
419,Source,384PP_AQ_BP2,A20,Destination,C06,257.5
420,Source,384PP_AQ_BP2,A21,Destination,C06,5.0
421,Source,384PP_AQ_BP2,B01,Destination,C06,1157.5
422,Source,384PP_AQ_BP2,A03,Destination,C07,2.5
423,Source,384PP_AQ_BP2,A04,Destination,C07,67.5
424,Source,384PP_AQ_BP2,A09,Destination,C07,37.5
425,Source,384PP_AQ_BP2,A14,Destination,C07,160.0
426,Source,384PP_AQ_BP2,A15,Destination,C07,37.5
427,Source,384PP_AQ_BP2,A16,Destination,C07,517.5
428,Source,384PP_AQ_BP2,A18,Destination,C07,265.0
429,Source,384PP_AQ_BP2,A20,Destination,C07,332.5
430,Source,384PP_AQ_BP2,A21,Destination,C07,5.0
431,Source,384PP_AQ_BP2,B01,Destination,C07,2000.0
432,Source,384PP_AQ_BP2,B01,Destination,C07,1837.5
433,Source,384PP_AQ_BP2,A03,Destination,C08,27.5
434,Source,384PP_AQ_BP2,A04,Destination,C08,277.5
435,Source,384PP_AQ_BP2,B01,Destination,C08,2000.0
436,Source,384PP_AQ_BP2,B01,Destination,C08,2000.0
437,Source,384PP_AQ_BP2,B01,Destination,C08,960.0
438,Source,384PP_AQ_BP2,A03,Destination,C09,10.0
439,Source,384PP_AQ_BP2,A04,Destination,C09,77.5
440,Source,384PP_AQ_BP2,A05,Destination,C09,1105.0
441,Source,384PP_AQ_BP2,A09,Destination,C09,37.5
