O2,d_glucose,sodium_citrate,sodium_octanoate,sodium_acetate,sodium_benzoate,pH,sodium_chloride,potassium_chloride,mme_trace_minerals,urea,ammonium_chloride,type,direction,frontier_type,growth_pred,var,is_redo,round,experiment_number
0.0,2.0,3.2,1.2000000000000002,7.199999999999999,2.25,9.0,25.0,12.5,0.9,0.25,0.7000000000000001,ROLLOUT,DOWN,BEYOND,0.0,1.757993459701538,False,3,
0.0,2.8000000000000003,2.0,1.4000000000000001,6.0,1.75,7.0,100.0,12.5,0.4,0.35000000000000003,0.5,ROLLOUT,DOWN,BEYOND,0.0,1.8729729652404785,False,3,
0.0,2.0,1.6,1.2000000000000002,9.6,1.75,9.0,37.5,12.5,0.8,0.30000000000000004,0.6000000000000001,ROLLOUT,DOWN,BEYOND,0.0,1.8750306367874146,False,3,
0.0,3.2,2.8000000000000003,1.2000000000000002,7.199999999999999,1.75,7.0,25.0,25.0,0.8,0.30000000000000004,0.6000000000000001,ROLLOUT,DOWN,BEYOND,0.0,1.946750521659851,False,3,
0.0,3.2,2.0,1.4000000000000001,7.199999999999999,1.75,9.0,37.5,12.5,0.4,0.15000000000000002,0.7000000000000001,ROLLOUT,DOWN,BEYOND,0.0,2.042046546936035,False,3,
0.0,3.2,3.6,1.8,8.4,2.0,9.0,25.0,37.5,0.6000000000000001,0.5,0.8,ROLLOUT,DOWN,BEYOND,0.0,2.0747873783111572,False,3,
0.0,3.2,2.8000000000000003,1.4000000000000001,8.4,2.25,7.0,37.5,25.0,0.9,0.4,0.7000000000000001,ROLLOUT,DOWN,BEYOND,0.0,2.0929040908813477,False,3,
0.0,2.0,2.8000000000000003,2.0,8.4,2.25,7.0,37.5,25.0,0.9,0.25,0.6000000000000001,ROLLOUT,DOWN,BEYOND,0.0,2.0988893508911133,False,3,
0.0,2.8000000000000003,2.4000000000000004,1.6,4.8,0.75,7.0,25.0,25.0,0.7000000000000001,0.2,0.7000000000000001,ROLLOUT,DOWN,BEYOND,0.0,2.1037063598632812,False,3,
0.0,2.4000000000000004,1.2000000000000002,0.8,8.4,2.0,5.0,50.0,87.5,0.7000000000000001,0.4,0.5,ROLLOUT,DOWN,BEYOND,0.0,2.1085214614868164,False,3,
1.0,2.4000000000000004,2.4000000000000004,0.8,7.199999999999999,1.5,5.0,0.0,50.0,0.30000000000000004,0.30000000000000004,0.5,ROLLOUT,DOWN,BEYOND,0.0,2.110457181930542,False,3,
0.0,0.4,1.6,0.8,1.2,0.75,5.0,100.0,112.5,0.0,0.1,0.2,ROLLOUT,DOWN,BEYOND,0.0,2.110724687576294,False,3,
0.0,2.8000000000000003,3.2,1.4000000000000001,1.2,0.75,5.0,50.0,75.0,0.7000000000000001,0.30000000000000004,0.7000000000000001,ROLLOUT,DOWN,BEYOND,0.0,2.1108975410461426,False,3,
0.0,3.2,2.4000000000000004,2.0,7.199999999999999,2.5,9.0,25.0,75.0,0.7000000000000001,0.35000000000000003,0.4,ROLLOUT,DOWN,BEYOND,0.0,2.1109306812286377,False,3,
0.0,3.2,3.2,0.6000000000000001,7.199999999999999,1.0,7.0,12.5,62.5,0.7000000000000001,0.35000000000000003,0.7000000000000001,ROLLOUT,DOWN,BEYOND,0.0,2.110959768295288,False,3,
0.0,2.8000000000000003,3.2,0.8,4.8,1.0,5.0,37.5,62.5,0.8,0.4,0.30000000000000004,ROLLOUT,DOWN,BEYOND,0.0,2.1109602451324463,False,3,
0.0,2.8000000000000003,2.4000000000000004,1.6,8.4,2.0,5.0,0.0,62.5,0.5,0.25,0.6000000000000001,ROLLOUT,DOWN,BEYOND,0.0,2.110966205596924,False,3,
0.0,0.4,2.8000000000000003,1.6,6.0,2.0,7.0,37.5,62.5,0.7000000000000001,0.5,0.9,ROLLOUT,DOWN,BEYOND,0.0,2.110969066619873,False,3,
0.0,2.8000000000000003,3.2,1.6,8.4,2.0,7.0,62.5,12.5,0.7000000000000001,0.45,0.9,ROLLOUT,DOWN,BEYOND,0.0,2.110971689224243,False,3,
1.0,2.4000000000000004,2.4000000000000004,1.6,9.6,1.5,9.0,50.0,0.0,0.9,0.45,0.8,ROLLOUT,DOWN,BEYOND,0.0,2.110971689224243,False,3,
0.0,2.8000000000000003,2.8000000000000003,1.4000000000000001,9.6,1.5,7.0,62.5,12.5,0.7000000000000001,0.30000000000000004,0.8,ROLLOUT,DOWN,BEYOND,0.0,2.1109726428985596,False,3,
0.0,3.6,2.0,1.8,2.4,1.0,5.0,50.0,37.5,0.9,0.35000000000000003,0.4,ROLLOUT,DOWN,BEYOND,0.0,2.1109728813171387,False,3,
0.0,3.6,2.8000000000000003,1.6,8.4,1.5,5.0,37.5,50.0,0.6000000000000001,0.2,0.6000000000000001,ROLLOUT,DOWN,BEYOND,0.0,2.1109728813171387,False,3,
0.0,2.8000000000000003,4.0,1.4000000000000001,7.199999999999999,1.5,5.0,50.0,37.5,0.7000000000000001,0.2,0.30000000000000004,ROLLOUT,DOWN,BEYOND,0.0,2.1109728813171387,False,3,
0.0,3.2,2.0,1.6,4.8,2.0,7.0,50.0,37.5,0.9,0.25,0.8,ROLLOUT,DOWN,BEYOND,0.0,2.1109728813171387,False,3,
0.0,3.6,3.6,1.8,12.0,2.0,9.0,12.5,12.5,0.9,0.5,0.8,ROLLOUT,DOWN,BEYOND,0.0,2.141709327697754,True,2,73.0
1.0,3.6,4.0,2.0,12.0,2.5,9.0,0.0,0.0,1.0,0.5,1.0,ROLLOUT,DOWN,BEYOND,0.0,2.141709327697754,True,2,91.0
